"Tabela 1554 - Pessoas de 10 anos ou mais de idade, por nível de instrução - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Nível de instrução"
"Município","Ano","Total","Sem instrução e fundamental incompleto","Fundamental completo e médio incompleto","Médio completo e superior incompleto","Superior completo","Não determinado"
"Jaguaruna (SC)","2010","15073","8734","2799","2677","773","90"
"Jaraguá do Sul (SC)","2010","124036","44943","26533","37318","14707","535"
"Jardinópolis (SC)","2010","1566","975","246","266","80","-"
"Joaçaba (SC)","2010","23735","8731","4272","6767","3834","131"
"Joinville (SC)","2010","445974","156161","91315","141088","54860","2550"
"José Boiteux (SC)","2010","3921","2489","749","523","152","9"
"Jupiá (SC)","2010","1843","1176","313","303","52","-"
"Lacerdópolis (SC)","2010","1941","1082","321","419","119","-"
"Lages (SC)","2010","134278","59675","26228","33123","14220","1033"
"Laguna (SC)","2010","45006","22424","8179","11435","2833","135"
"Lajeado Grande (SC)","2010","1326","719","273","244","89","-"
"Laurentino (SC)","2010","5275","2756","978","1171","349","20"
"Lauro Müller (SC)","2010","12354","6233","2349","3123","644","5"
"Lebon Régis (SC)","2010","9679","6281","1651","1355","252","139"
"Leoberto Leal (SC)","2010","2886","2038","392","334","96","26"
"Lindóia do Sul (SC)","2010","4077","2420","608","904","145","-"
"Lontras (SC)","2010","8761","5351","1697","1258","357","98"
"Luiz Alves (SC)","2010","8851","5517","1334","1522","469","10"
"Luzerna (SC)","2010","5079","2491","843","1225","517","3"
"Macieira (SC)","2010","1569","1134","209","179","47","-"
"Mafra (SC)","2010","45143","21514","9309","10867","3352","101"
"Major Gercino (SC)","2010","2858","1920","433","396","96","13"
"Major Vieira (SC)","2010","6350","4035","1005","1049","255","5"
"Maracajá (SC)","2010","5481","2879","975","1348","278","1"
"Maravilha (SC)","2010","19208","9098","3726","4566","1741","76"
"Marema (SC)","2010","1984","1220","319","351","88","6"
"Massaranduba (SC)","2010","12828","6431","2597","3077","706","17"
"Matos Costa (SC)","2010","2339","1635","378","250","72","2"
"Meleiro (SC)","2010","6167","3258","1078","1310","443","78"
"Mirim Doce (SC)","2010","2166","1271","445","348","99","4"
"Modelo (SC)","2010","3531","1958","641","726","206","-"
"Mondaí (SC)","2010","9044","4745","1621","2133","531","14"
"Monte Carlo (SC)","2010","7620","5271","1294","734","290","31"
"Monte Castelo (SC)","2010","6982","4545","1233","927","242","36"
"Morro da Fumaça (SC)","2010","13814","7530","2973","2629","633","49"
"Morro Grande (SC)","2010","2548","1761","420","223","130","14"
"Navegantes (SC)","2010","51085","26610","10276","11102","2879","219"
"Nova Erechim (SC)","2010","3724","2030","655","804","228","8"
"Nova Itaberaba (SC)","2010","3728","2428","601","561","138","-"
"Nova Trento (SC)","2010","10746","5961","2013","2061","662","49"
"Nova Veneza (SC)","2010","11620","5863","2129","2651","774","202"
"Novo Horizonte (SC)","2010","2352","1569","322","338","119","4"
"Orleans (SC)","2010","18597","9977","3286","3927","1161","245"
"Otacílio Costa (SC)","2010","13737","6924","2795","3033","885","99"
"Ouro (SC)","2010","6471","3601","1069","1388","400","13"
"Ouro Verde (SC)","2010","1952","1183","353","303","114","-"
"Paial (SC)","2010","1543","985","234","262","62","-"
"Painel (SC)","2010","2016","1311","374","234","93","4"
"Palhoça (SC)","2010","117804","52851","25088","31984","7319","562"
"Palma Sola (SC)","2010","6602","3986","1317","931","358","10"
"Palmeira (SC)","2010","2008","1348","306","269","74","11"
"Palmitos (SC)","2010","14072","8188","2472","2553","858","-"
"Papanduva (SC)","2010","15111","9408","2531","2522","613","37"
"Paraíso (SC)","2010","3584","2510","486","462","126","-"
"Passo de Torres (SC)","2010","5557","2792","1225","1299","235","6"
"Passos Maia (SC)","2010","3696","2472","536","530","148","11"
"Paulo Lopes (SC)","2010","5766","3576","1000","949","229","12"
"Pedras Grandes (SC)","2010","3647","2275","602","608","162","-"
"Penha (SC)","2010","21650","11673","4831","3988","1104","54"
"Peritiba (SC)","2010","2669","1592","374","557","144","3"
"Petrolândia (SC)","2010","5369","3481","854","755","226","53"
"Balneário Piçarras (SC)","2010","14486","6991","2851","3382","1194","69"
"Pinhalzinho (SC)","2010","14190","6839","2521","3676","1145","9"
"Pinheiro Preto (SC)","2010","2734","1424","505","577","225","3"
"Piratuba (SC)","2010","4184","2245","604","1025","310","-"
"Planalto Alegre (SC)","2010","2362","1397","396","428","141","-"
"Pomerode (SC)","2010","24394","11603","5329","5104","2289","68"
"Ponte Alta (SC)","2010","4080","2683","620","607","158","11"
"Ponte Alta do Norte (SC)","2010","2738","1696","476","436","122","8"
"Ponte Serrada (SC)","2010","9231","5454","1623","1569","506","80"
"Porto Belo (SC)","2010","13773","6866","2544","3342","983","37"
"Porto União (SC)","2010","28556","12966","5171","6944","3404","71"
"Pouso Redondo (SC)","2010","12515","7408","2512","1976","584","36"
"Praia Grande (SC)","2010","6298","3561","1260","1119","354","4"
"Presidente Castello Branco (SC)","2010","1546","1009","229","234","70","2"
"Presidente Getúlio (SC)","2010","12859","7079","2652","2382","741","6"
"Presidente Nereu (SC)","2010","1990","1272","332","304","81","-"
"Princesa (SC)","2010","2387","1461","443","428","42","13"
"Quilombo (SC)","2010","8957","4985","1524","1866","575","7"
"Rancho Queimado (SC)","2010","2432","1416","437","426","153","-"
"Rio das Antas (SC)","2010","5270","3400","987","678","205","-"
"Rio do Campo (SC)","2010","5290","3082","987","973","244","5"
"Rio do Oeste (SC)","2010","6191","3844","987","1058","248","53"
"Rio dos Cedros (SC)","2010","9022","5195","1915","1461","426","25"
"Rio do Sul (SC)","2010","53210","22880","10064","13906","6095","266"
"Rio Fortuna (SC)","2010","3966","2003","756","938","269","-"
"Rio Negrinho (SC)","2010","33384","16934","7173","7108","1951","218"
"Rio Rufino (SC)","2010","2077","1387","345","260","85","-"
"Riqueza (SC)","2010","4177","2693","723","620","135","6"
"Rodeio (SC)","2010","9768","5604","2041","1646","445","31"
"Romelândia (SC)","2010","4849","3371","724","569","173","13"
"Salete (SC)","2010","6375","3481","1192","1421","281","-"
"Saltinho (SC)","2010","3329","2329","517","400","83","-"
"Salto Veloso (SC)","2010","3763","1890","725","817","306","25"
"Sangão (SC)","2010","8543","5638","1711","999","189","4"
"Santa Cecília (SC)","2010","13013","7601","2583","1964","669","195"
"Santa Helena (SC)","2010","2101","1285","335","418","64","-"
"Santa Rosa de Lima (SC)","2010","1854","1017","310","442","84","-"
"Santa Rosa do Sul (SC)","2010","6915","4302","1242","1082","278","11"
"Santa Terezinha (SC)","2010","7488","4990","1329","962","174","34"
"Santa Terezinha do Progresso (SC)","2010","2499","1688","449","267","96","-"
"Santiago do Sul (SC)","2010","1281","808","216","180","75","2"
"Santo Amaro da Imperatriz (SC)","2010","17418","7866","3640","4646","1234","32"
"São Bernardino (SC)","2010","2285","1530","361","302","90","-"
"São Bento do Sul (SC)","2010","63909","26951","13299","17112","6210","338"
"São Bonifácio (SC)","2010","2683","1654","512","397","119","-"
"São Carlos (SC)","2010","9042","4691","1545","2038","762","6"
"São Cristóvão do Sul (SC)","2010","4287","2956","658","497","171","5"
"São Domingos (SC)","2010","8226","4610","1546","1538","501","30"
"São Francisco do Sul (SC)","2010","36139","15418","7825","10172","2633","91"
"São João do Oeste (SC)","2010","5464","3028","1108","1050","260","19"
"São João Batista (SC)","2010","22445","11540","5372","4629","885","20"
"São João do Itaperiú (SC)","2010","2919","1697","559","603","56","4"
"São João do Sul (SC)","2010","6091","3851","1022","951","238","28"
"São Joaquim (SC)","2010","21102","12102","3713","3959","1257","71"
"São José (SC)","2010","183507","60434","36108","63471","22287","1207"
"São José do Cedro (SC)","2010","12025","7085","2003","2180","735","22"
"São José do Cerrito (SC)","2010","8026","5915","954","883","221","53"
"São Lourenço do Oeste (SC)","2010","18719","9504","3321","4336","1490","69"
"São Ludgero (SC)","2010","9399","4487","2011","2199","684","18"
"São Martinho (SC)","2010","2861","1605","603","528","119","6"
"São Miguel da Boa Vista (SC)","2010","1669","1108","246","262","51","2"
"São Miguel do Oeste (SC)","2010","31956","13554","5551","9298","3436","117"
"São Pedro de Alcântara (SC)","2010","4363","2580","855","696","201","32"
"Saudades (SC)","2010","7951","4225","1530","1700","494","2"
"Schroeder (SC)","2010","13078","5599","3314","3383","754","29"
"Seara (SC)","2010","14889","7808","2546","3397","1101","38"
"Serra Alta (SC)","2010","2908","1691","482","566","169","-"
"Siderópolis (SC)","2010","11378","5475","2264","2918","661","59"
"Sombrio (SC)","2010","22759","12501","4661","4266","1293","38"
"Sul Brasil (SC)","2010","2389","1600","387","332","70","-"
"Taió (SC)","2010","14882","7968","2762","3091","1046","15"
"Tangará (SC)","2010","7554","4591","1361","1104","475","23"
"Tigrinhos (SC)","2010","1549","990","256","228","65","10"
"Tijucas (SC)","2010","26697","13037","4821","7146","1553","140"
"Timbé do Sul (SC)","2010","4603","2839","753","747","209","55"
"Timbó (SC)","2010","32378","14415","6792","7568","3508","94"
"Timbó Grande (SC)","2010","5745","3463","1171","900","191","20"
"Três Barras (SC)","2010","14931","8023","2404","3692","779","33"
"Treviso (SC)","2010","3143","1596","615","748","169","14"
"Treze de Maio (SC)","2010","6052","3808","992","892","338","23"
"Treze Tílias (SC)","2010","5442","2663","966","1302","486","25"
"Trombudo Central (SC)","2010","5628","2854","1010","1406","320","39"
"Tubarão (SC)","2010","86018","33932","18135","23684","9943","325"
"Tunápolis (SC)","2010","4077","2280","750","836","211","-"
"Turvo (SC)","2010","10341","5753","1764","2038","760","26"
"União do Oeste (SC)","2010","2538","1666","355","429","88","-"
"Urubici (SC)","2010","9042","5278","1808","1285","642","29"
"Urupema (SC)","2010","2145","1305","296","418","125","-"
"Urussanga (SC)","2010","18005","8944","3097","4457","1459","47"
"Vargeão (SC)","2010","3001","2004","437","369","189","3"
"Vargem (SC)","2010","2399","1711","414","172","89","13"
"Vargem Bonita (SC)","2010","4052","2209","730","909","192","11"
"Vidal Ramos (SC)","2010","5329","3435","862","812","188","32"
"Videira (SC)","2010","40482","18454","8898","9238","3783","109"
"Vitor Meireles (SC)","2010","4367","2988","760","475","143","-"
"Witmarsum (SC)","2010","3139","2058","526","464","91","-"
"Xanxerê (SC)","2010","37881","16939","7820","9109","3870","143"
"Xavantina (SC)","2010","3658","2254","632","669","102","-"
"Xaxim (SC)","2010","22101","11864","3705","4653","1849","31"
"Zortéa (SC)","2010","2541","1291","485","620","135","10"
"Aceguá (RS)","2010","3755","2442","704","454","148","6"
"Água Santa (RS)","2010","3237","2031","416","560","183","46"
"Agudo (RS)","2010","14829","9476","2660","2034","648","11"
"Ajuricaba (RS)","2010","6471","3730","1130","1225","375","11"
"Alecrim (RS)","2010","6382","4475","1007","705","179","16"
"Alegrete (RS)","2010","67893","32426","13790","15813","5651","213"
"Alegria (RS)","2010","3858","2560","714","457","118","10"
"Almirante Tamandaré do Sul (RS)","2010","1861","1117","335","334","75","-"
"Alpestre (RS)","2010","7119","4956","1185","712","255","10"
"Alto Alegre (RS)","2010","1657","1019","280","219","140","-"
"Alto Feliz (RS)","2010","2650","1618","550","398","82","3"
"Alvorada (RS)","2010","164362","83230","36986","39422","3647","1078"
"Amaral Ferrador (RS)","2010","5365","3929","670","608","158","-"
"Ametista do Sul (RS)","2010","6196","4047","1072","755","242","81"
"André da Rocha (RS)","2010","1072","664","175","182","48","2"
"Anta Gorda (RS)","2010","5505","3480","818","1022","182","3"
"Antônio Prado (RS)","2010","11516","5999","2278","2431","807","-"
"Arambaré (RS)","2010","3239","1908","716","488","128","-"
"Araricá (RS)","2010","4166","2782","745","533","68","39"
"Aratiba (RS)","2010","5989","3635","973","1129","248","3"
"Arroio do Meio (RS)","2010","16823","8640","3378","4002","798","5"
"Arroio do Sal (RS)","2010","6717","3536","1245","1562","333","40"
"Arroio do Padre (RS)","2010","2431","1773","366","229","56","6"
"Arroio dos Ratos (RS)","2010","11796","6595","2326","2471","395","8"
"Arroio do Tigre (RS)","2010","10970","7066","1889","1611","385","18"
"Arroio Grande (RS)","2010","16001","10025","2471","2601","824","81"
"Arvorezinha (RS)","2010","9002","5748","1531","1335","363","25"
"Augusto Pestana (RS)","2010","6423","3957","1024","1090","343","9"
"Áurea (RS)","2010","3285","2265","394","476","151","-"
"Bagé (RS)","2010","101091","47361","20201","24325","8904","300"
"Balneário Pinhal (RS)","2010","9312","5434","1946","1513","403","15"
"Barão (RS)","2010","5139","2865","1054","1009","192","19"
"Barão de Cotegipe (RS)","2010","5815","3547","866","1101","295","6"
"Barão do Triunfo (RS)","2010","5961","4726","680","494","56","5"
"Barracão (RS)","2010","4720","3023","788","710","195","5"
"Barra do Guarita (RS)","2010","2636","1438","628","449","110","12"
"Barra do Quaraí (RS)","2010","3301","1789","839","532","131","11"
"Barra do Ribeiro (RS)","2010","10810","6257","1983","2110","428","33"
"Barra do Rio Azul (RS)","2010","1819","1171","290","299","59","-"
"Barra Funda (RS)","2010","2119","1138","341","509","129","-"
"Barros Cassal (RS)","2010","9438","6668","1341","1159","265","5"
"Benjamin Constant do Sul (RS)","2010","1934","1310","380","189","43","11"
"Bento Gonçalves (RS)","2010","95451","40650","17875","26191","10147","588"
"Boa Vista das Missões (RS)","2010","1841","1217","286","257","82","-"
"Boa Vista do Buricá (RS)","2010","5890","2941","1397","1167","386","-"
"Boa Vista do Cadeado (RS)","2010","2162","1383","451","259","62","8"
"Boa Vista do Incra (RS)","2010","2115","1146","464","410","94","-"
"Boa Vista do Sul (RS)","2010","2539","1748","445","306","36","5"
"Bom Jesus (RS)","2010","9715","6138","1746","1195","559","76"
"Bom Princípio (RS)","2010","10363","5330","1977","2511","529","16"
"Bom Progresso (RS)","2010","2067","1208","378","404","70","7"
"Bom Retiro do Sul (RS)","2010","10042","5328","2310","2019","351","33"
"Boqueirão do Leão (RS)","2010","6578","4154","1274","902","242","6"
"Bossoroca (RS)","2010","6000","3556","1359","739","289","57"
"Bozano (RS)","2010","1953","1214","375","296","63","6"
"Braga (RS)","2010","3178","2063","508","495","112","-"
"Brochier (RS)","2010","4203","2880","590","638","94","-"
"Butiá (RS)","2010","17492","10461","3139","2876","839","177"
"Caçapava do Sul (RS)","2010","29639","17056","5141","5411","1955","76"
"Cacequi (RS)","2010","11834","6434","2228","2616","527","31"
"Cachoeira do Sul (RS)","2010","73288","36761","13730","16351","6210","235"
"Cachoeirinha (RS)","2010","102400","40730","21710","34037","5285","638"
"Cacique Doble (RS)","2010","4175","2890","556","542","181","7"
"Caibaté (RS)","2010","4425","2624","729","747","282","42"
"Caiçara (RS)","2010","4512","2993","738","538","243","-"
"Camaquã (RS)","2010","54528","31606","10509","8847","3286","280"
"Camargo (RS)","2010","2288","1406","306","406","136","33"
"Cambará do Sul (RS)","2010","5521","3166","983","1063","282","27"
"Campestre da Serra (RS)","2010","2867","1915","469","428","52","4"
"Campina das Missões (RS)","2010","5590","3206","1100","1063","216","5"
"Campinas do Sul (RS)","2010","4936","2702","692","1167","358","17"
"Campo Bom (RS)","2010","52439","27110","11441","11637","2112","139"
"Campo Novo (RS)","2010","4778","2831","842","846","226","34"
"Campos Borges (RS)","2010","3096","1853","598","446","195","3"
"Candelária (RS)","2010","26244","16879","4693","3718","931","24"
"Cândido Godói (RS)","2010","5880","3636","871","1096","266","11"
"Candiota (RS)","2010","7387","4022","1772","1240","237","115"
"Canela (RS)","2010","33271","16116","7478","7359","2162","156"
"Canguçu (RS)","2010","46480","32408","7581","4770","1620","101"
"Canoas (RS)","2010","278280","116041","56943","81642","21959","1694"
"Canudos do Vale (RS)","2010","1640","1129","327","167","16","-"
"Capão Bonito do Sul (RS)","2010","1535","1092","268","102","45","28"
"Capão da Canoa (RS)","2010","35597","17067","7621","7997","2628","284"
"Capão do Cipó (RS)","2010","2651","1821","384","345","84","17"
"Capão do Leão (RS)","2010","20480","13097","3651","3135","553","44"
"Capivari do Sul (RS)","2010","3352","1647","685","817","188","15"
