"Tabela 1554 - Pessoas de 10 anos ou mais de idade, por nível de instrução - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Nível de instrução"
"Município","Ano","Total","Sem instrução e fundamental incompleto","Fundamental completo e médio incompleto","Médio completo e superior incompleto","Superior completo","Não determinado"
"Senador José Porfírio (PA)","2010","9839","8153","897","545","167","78"
"Soure (PA)","2010","18599","11543","3185","3298","559","14"
"Tailândia (PA)","2010","61104","41176","11854","7249","695","129"
"Terra Alta (PA)","2010","8270","5325","1487","1339","120","-"
"Terra Santa (PA)","2010","13295","8344","2421","2224","295","12"
"Tomé-Açu (PA)","2010","43610","31396","6469","4961","599","184"
"Tracuateua (PA)","2010","21342","16417","2778","1942","168","37"
"Trairão (PA)","2010","13135","9967","1870","1097","157","45"
"Tucumã (PA)","2010","27179","17159","5075","3935","636","374"
"Tucuruí (PA)","2010","77053","43555","13111","17298","2777","312"
"Ulianópolis (PA)","2010","33585","24048","5698","3338","311","189"
"Uruará (PA)","2010","34993","24651","5880","3820","451","192"
"Vigia (PA)","2010","38895","25703","6364","5644","1018","166"
"Viseu (PA)","2010","42145","33486","4960","3004","477","218"
"Vitória do Xingu (PA)","2010","10915","7968","1720","1022","148","57"
"Xinguara (PA)","2010","32787","21124","5697","4804","1058","104"
"Serra do Navio (AP)","2010","3326","1549","759","908","110","-"
"Amapá (AP)","2010","6206","3943","1018","1093","152","-"
"Pedra Branca do Amapari (AP)","2010","8086","5170","1172","1383","209","152"
"Calçoene (AP)","2010","6738","4222","1265","1022","168","61"
"Cutias (AP)","2010","3448","2021","721","591","109","5"
"Ferreira Gomes (AP)","2010","4366","2619","741","889","111","7"
"Itaubal (AP)","2010","3162","2179","516","423","43","-"
"Laranjal do Jari (AP)","2010","30688","16819","6436","6641","740","52"
"Macapá (AP)","2010","319028","133230","54724","99384","29392","2297"
"Mazagão (AP)","2010","12405","8741","1485","1738","231","210"
"Oiapoque (AP)","2010","15431","9476","3155","2234","511","55"
"Porto Grande (AP)","2010","12781","7505","2534","2352","384","7"
"Pracuúba (AP)","2010","2652","1640","530","426","55","-"
"Santana (AP)","2010","80052","39037","14343","21980","4052","640"
"Tartarugalzinho (AP)","2010","9157","6299","1600","1027","215","18"
"Vitória do Jari (AP)","2010","9449","5982","1702","1561","155","48"
"Abreulândia (TO)","2010","1887","1176","341","258","109","2"
"Aguiarnópolis (TO)","2010","3997","2402","678","830","80","7"
"Aliança do Tocantins (TO)","2010","4749","2773","740","991","244","2"
"Almas (TO)","2010","6061","4037","794","1004","214","11"
"Alvorada (TO)","2010","6968","3679","1275","1569","414","31"
"Ananás (TO)","2010","7940","4799","1171","1490","457","23"
"Angico (TO)","2010","2563","1540","419","479","125","-"
"Aparecida do Rio Negro (TO)","2010","3376","2182","393","680","117","4"
"Aragominas (TO)","2010","4762","3441","563","554","153","52"
"Araguacema (TO)","2010","5070","3244","722","878","223","3"
"Araguaçu (TO)","2010","7494","4529","1232","1361","367","5"
"Araguaína (TO)","2010","124535","53197","22940","37827","9641","930"
"Araguanã (TO)","2010","4016","2679","664","517","156","-"
"Araguatins (TO)","2010","24678","15741","3849","3817","1181","90"
"Arapoema (TO)","2010","5557","3359","945","1003","251","-"
"Arraias (TO)","2010","8805","5855","962","1329","627","33"
"Augustinópolis (TO)","2010","12846","7569","1952","2788","483","55"
"Aurora do Tocantins (TO)","2010","2855","1805","348","483","129","89"
"Axixá do Tocantins (TO)","2010","7320","4598","1243","1209","270","-"
"Babaçulândia (TO)","2010","8704","5302","1489","1568","244","102"
"Bandeirantes do Tocantins (TO)","2010","2489","1599","363","413","96","19"
"Barra do Ouro (TO)","2010","3203","2120","523","441","100","19"
"Barrolândia (TO)","2010","4458","2922","688","684","163","-"
"Bernardo Sayão (TO)","2010","3673","2298","598","591","179","8"
"Bom Jesus do Tocantins (TO)","2010","2992","1876","489","448","93","86"
"Brasilândia do Tocantins (TO)","2010","1675","1017","264","306","86","3"
"Brejinho de Nazaré (TO)","2010","4228","2424","703","898","204","-"
"Buriti do Tocantins (TO)","2010","7904","4497","1452","1565","380","9"
"Cachoeirinha (TO)","2010","1701","1047","262","332","61","-"
"Campos Lindos (TO)","2010","6100","4426","781","632","198","63"
"Cariri do Tocantins (TO)","2010","3163","2051","447","568","97","-"
"Carmolândia (TO)","2010","1875","1205","295","271","104","-"
"Carrasco Bonito (TO)","2010","2809","1930","362","435","78","4"
"Caseara (TO)","2010","3651","2347","594","522","180","8"
"Centenário (TO)","2010","2089","1451","274","288","75","2"
"Chapada de Areia (TO)","2010","1137","759","195","158","25","-"
"Chapada da Natividade (TO)","2010","2645","1825","398","359","63","-"
"Colinas do Tocantins (TO)","2010","25317","13938","4467","4745","1968","199"
"Combinado (TO)","2010","3816","2181","693","727","214","-"
"Conceição do Tocantins (TO)","2010","3348","2374","417","408","112","37"
"Couto Magalhães (TO)","2010","4031","2682","583","616","127","23"
"Cristalândia (TO)","2010","6010","3636","896","1111","367","-"
"Crixás do Tocantins (TO)","2010","1269","837","186","167","75","4"
"Darcinópolis (TO)","2010","4228","3068","664","376","118","3"
"Dianópolis (TO)","2010","15449","8683","2328","3095","1286","56"
"Divinópolis do Tocantins (TO)","2010","5255","3198","836","832","315","74"
"Dois Irmãos do Tocantins (TO)","2010","5943","4216","885","686","138","19"
"Dueré (TO)","2010","3790","2317","586","675","159","54"
"Esperantina (TO)","2010","7320","4966","982","1156","208","9"
"Fátima (TO)","2010","3143","1829","440","698","171","5"
"Figueirópolis (TO)","2010","4563","2728","607","946","283","-"
"Filadélfia (TO)","2010","6831","4577","842","1129","258","25"
