"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"Areia (PB)","2021","275","269","1871","1579","1552.56","38295","1.7","1897.38"
"Areia de Baraúnas (PB)","2021","14","14","288","282","259.79","5620","1.5","1664.03"
"Areial (PB)","2021","67","66","568","506","469.91","11864","1.8","1942.06"
"Aroeiras (PB)","2021","62","60","1303","1239","1190.70","30299","1.8","1957.41"
"Assunção (PB)","2021","50","49","406","359","351.25","8886","1.8","1946.06"
"Baía da Traição (PB)","2021","92","92","847","760","765.72","17594","1.6","1767.42"
"Bananeiras (PB)","2021","284","282","2002","1652","1633.78","41567","1.8","1957.08"
"Baraúna (PB)","2021","39","39","386","355","350.89","8895","1.8","1950.00"
"Barra de Santana (PB)","2021","35","34","626","601","577.79","14976","1.8","1993.78"
"Barra de Santa Rosa (PB)","2021","114","112","964","874","870.78","21496","1.7","1898.94"
"Barra de São Miguel (PB)","2021","41","41","499","471","441.19","10116","1.6","1763.75"
"Bayeux (PB)","2021","1005","985","11274","10252","10203.89","240722","1.6","1814.71"
"Belém (PB)","2021","169","166","1849","1683","1679.00","34706","1.4","1590.06"
"Belém do Brejo do Cruz (PB)","2021","68","66","696","640","609.38","17292","2.0","2182.84"
"Bernardino Batista (PB)","2021","22","22","381","362","355.86","9698","1.9","2096.31"
"Boa Ventura (PB)","2021","69","69","462","398","377.45","8186","1.5","1668.26"
"Boa Vista (PB)","2021","82","82","1234","1148","1138.37","29312","1.8","1980.69"
"Bom Jesus (PB)","2021","20","20","261","246","276.81","5770","1.5","1603.34"
"Bom Sucesso (PB)","2021","51","51","492","437","418.18","9234","1.5","1698.50"
"Bonito de Santa Fé (PB)","2021","122","119","630","540","510.96","14542","2.0","2189.22"
"Boqueirão (PB)","2021","176","171","1557","1376","1327.22","33031","1.7","1914.40"
"Igaracy (PB)","2021","46","46","457","421","414.91","9340","1.6","1731.53"
"Borborema (PB)","2021","37","37","423","394","390.37","9776","1.8","1926.43"
"Brejo do Cruz (PB)","2021","162","160","1071","894","853.28","25717","2.1","2318.43"
"Brejo dos Santos (PB)","2021","75","71","487","425","444.85","10857","1.7","1877.44"
"Caaporã (PB)","2021","204","180","4574","4394","3836.93","97187","1.8","1948.42"
"Cabaceiras (PB)","2021","70","69","449","392","377.54","9893","1.8","2015.73"
"Cabedelo (PB)","2021","1780","1733","20676","18390","18257.03","602738","2.3","2539.54"
"Cachoeira dos Índios (PB)","2021","80","78","584","502","551.55","13244","1.7","1847.04"
"Cacimba de Areia (PB)","2021","31","31","298","275","309.08","7054","1.6","1755.66"
"Cacimba de Dentro (PB)","2021","132","124","1000","879","871.00","22364","1.8","1975.08"
"Cacimbas (PB)","2021","40","39","579","555","525.68","14802","2.0","2165.93"
"Caiçara (PB)","2021","68","65","500","440","436.16","10489","1.7","1849.80"
"Cajazeiras (PB)","2021","1641","1561","10662","8723","8414.20","210531","1.7","1924.68"
"Cajazeirinhas (PB)","2021","30","30","311","286","362.29","9604","1.9","2039.10"
"Caldas Brandão (PB)","2021","34","34","656","607","595.82","13665","1.6","1764.23"
"Camalaú (PB)","2021","53","52","509","452","440.83","10854","1.7","1893.94"
"Campina Grande (PB)","2021","10618","9961","124799","111831","107807.04","3095654","2.0","2208.83"
"Capim (PB)","2021","56","56","512","457","511.01","13129","1.8","1976.35"
"Caraúbas (PB)","2021","36","36","366","341","312.70","7010","1.6","1724.42"
"Carrapateira (PB)","2021","19","19","251","238","238.76","7747","2.3","2495.80"
"Casserengue (PB)","2021","58","57","478","440","490.56","13231","1.9","2074.69"
"Catingueira (PB)","2021","33","32","414","379","358.15","8711","1.7","1870.85"
"Catolé do Rocha (PB)","2021","645","637","4277","3517","3474.61","76950","1.5","1703.56"
"Caturité (PB)","2021","42","41","459","418","419.02","9955","1.7","1827.58"
"Conceição (PB)","2021","385","380","1497","1167","1276.15","32802","1.8","1977.22"
"Condado (PB)","2021","60","59","475","428","414.84","11329","1.9","2100.73"
"Conde (PB)","2021","496","485","6783","6224","6381.20","161661","1.8","1948.76"
"Congo (PB)","2021","80","80","559","480","448.40","9272","1.4","1590.67"
"Coremas (PB)","2021","343","335","1285","959","801.97","22158","1.9","2125.34"
"Coxixola (PB)","2021","30","30","241","211","204.57","5462","1.9","2053.87"
"Cruz do Espírito Santo (PB)","2021","110","110","1686","1563","1470.46","33146","1.6","1733.93"
"Cubati (PB)","2021","64","64","642","579","547.96","12555","1.6","1762.42"
"Cuité (PB)","2021","315","310","1709","1386","1371.96","30862","1.6","1730.36"
"Cuitegi (PB)","2021","65","65","588","526","529.16","12628","1.7","1835.75"
"Cuité de Mamanguape (PB)","2021","46","46","626","583","580.55","13670","1.6","1811.25"
"Curral de Cima (PB)","2021","21","21","419","399","397.15","10907","1.9","2112.46"
"Curral Velho (PB)","2021","21","21","267","252","229.90","5166","1.6","1728.61"
"Damião (PB)","2021","46","44","452","409","391.05","10249","1.8","2016.02"
"Desterro (PB)","2021","70","70","516","462","419.28","9925","1.7","1820.94"
"Vista Serrana (PB)","2021","33","33","330","305","305.67","7533","1.7","1895.75"
"Diamante (PB)","2021","106","105","457","384","375.09","8992","1.7","1844.01"
"Dona Inês (PB)","2021","90","89","578","493","580.21","17778","2.1","2356.97"
"Duas Estradas (PB)","2021","34","33","349","325","334.68","8352","1.7","1919.66"
"Emas (PB)","2021","15","15","289","275","308.24","8111","1.8","2024.10"
"Esperança (PB)","2021","631","620","4616","3903","4080.48","89642","1.5","1689.89"
"Fagundes (PB)","2021","60","60","673","622","617.12","16522","1.9","2059.40"
"Frei Martinho (PB)","2021","30","30","284","261","261.11","6632","1.8","1953.74"
"Gado Bravo (PB)","2021","19","19","533","517","490.72","13054","1.9","2046.26"
"Guarabira (PB)","2021","1374","1300","11436","9999","9326.39","205367","1.5","1693.85"
"Gurinhém (PB)","2021","102","98","1026","911","909.11","22888","1.8","1936.63"
"Gurjão (PB)","2021","36","35","423","396","370.57","8104","1.5","1682.30"
"Ibiara (PB)","2021","87","87","378","310","362.17","9128","1.8","1938.66"
"Imaculada (PB)","2021","104","103","559","496","480.15","14288","2.1","2289.05"
"Ingá (PB)","2021","175","174","1899","1728","1710.44","33032","1.4","1485.53"
"Itabaiana (PB)","2021","310","307","2477","2112","2063.25","50213","1.7","1872.05"
"Itaporanga (PB)","2021","582","577","3257","2658","2716.44","62965","1.6","1783.02"
"Itapororoca (PB)","2021","162","160","1533","1381","1278.88","29095","1.6","1750.02"
"Itatuba (PB)","2021","59","57","950","893","901.08","18237","1.4","1556.86"
"Jacaraú (PB)","2021","186","185","1214","1049","989.08","21003","1.5","1633.42"
"Jericó (PB)","2021","79","78","618","543","526.13","11896","1.6","1739.31"
"João Pessoa (PB)","2021","24863","23253","306975","274381","271357.45","10273604","2.6","2912.31"
"Juarez Távora (PB)","2021","59","58","584","534","527.24","12988","1.7","1894.93"
"Juazeirinho (PB)","2021","168","165","1675","1512","1444.94","35232","1.7","1875.61"
"Junco do Seridó (PB)","2021","121","116","844","722","666.83","15079","1.6","1739.42"
"Juripiranga (PB)","2021","86","83","775","697","1145.70","24765","1.5","1662.77"
"Juru (PB)","2021","85","81","564","490","513.45","13477","1.8","2019.06"
"Lagoa (PB)","2021","53","53","530","484","466.86","8726","1.3","1437.79"
"Lagoa de Dentro (PB)","2021","59","59","650","617","605.40","13706","1.6","1741.51"
"Lagoa Seca (PB)","2021","263","260","2327","2027","1971.23","53572","1.9","2090.55"
"Lastro (PB)","2021","25","25","278","254","236.20","5511","1.6","1794.88"
"Livramento (PB)","2021","52","51","544","498","489.53","11610","1.7","1824.42"
"Logradouro (PB)","2021","30","30","319","298","297.60","7671","1.8","1982.69"
"Lucena (PB)","2021","135","133","2157","2013","2183.90","47115","1.5","1659.52"
"Mãe d'Água (PB)","2021","24","24","319","302","349.44","8318","1.7","1831.10"
"Malta (PB)","2021","52","52","465","415","388.69","9674","1.7","1914.57"
"Mamanguape (PB)","2021","660","645","8376","7704","6778.24","166436","1.7","1888.81"
"Manaíra (PB)","2021","103","103","756","690","682.88","17134","1.8","1930.10"
"Marcação (PB)","2021","56","56","580","527","552.40","13067","1.7","1819.59"
"Mari (PB)","2021","159","158","1517","1351","1282.42","33085","1.8","1984.55"
"Marizópolis (PB)","2021","83","81","470","389","513.69","12195","1.7","1826.10"
"Massaranduba (PB)","2021","78","78","855","777","727.31","18935","1.8","2002.67"
"Mataraca (PB)","2021","98","95","1163","1082","1177.74","34971","2.1","2284.10"
"Matinhas (PB)","2021","19","19","353","338","297.50","7617","1.8","1969.48"
"Mato Grosso (PB)","2021","26","26","311","284","273.30","6606","1.7","1859.39"
"Maturéia (PB)","2021","71","71","496","439","435.06","12009","1.9","2123.31"
"Mogeiro (PB)","2021","108","108","1428","1341","1350.49","30366","1.6","1729.64"
"Montadas (PB)","2021","37","36","600","568","565.84","13380","1.7","1818.89"
"Monte Horebe (PB)","2021","42","42","356","317","324.28","8361","1.8","1983.28"
"Monteiro (PB)","2021","459","449","3621","3103","3058.14","78557","1.8","1975.98"
"Mulungu (PB)","2021","51","51","699","642","630.37","13577","1.5","1656.76"
"Natuba (PB)","2021","24","23","645","620","600.68","15643","1.8","2003.20"
"Nazarezinho (PB)","2021","75","74","427","368","376.71","9930","1.8","2027.69"
"Nova Floresta (PB)","2021","132","127","738","593","617.45","14716","1.7","1833.32"
"Nova Olinda (PB)","2021","51","50","448","403","440.56","10339","1.6","1805.22"
"Nova Palmeira (PB)","2021","44","44","401","369","362.93","8612","1.7","1825.33"
"Olho d'Água (PB)","2021","38","38","446","414","402.27","8852","1.5","1692.74"
"Olivedos (PB)","2021","29","29","324","296","285.98","7811","1.9","2101.14"
"Ouro Velho (PB)","2021","27","27","338","318","315.87","7469","1.7","1818.88"
"Parari (PB)","2021","21","21","245","234","234.54","5086","1.5","1667.97"
"Passagem (PB)","2021","21","21","296","276","276.02","5877","1.5","1637.95"
"Patos (PB)","2021","2401","2276","17365","14628","15170.47","411057","1.9","2084.30"
"Paulista (PB)","2021","150","148","783","635","631.91","18260","2.0","2222.77"
"Pedra Branca (PB)","2021","46","46","326","297","293.63","7036","1.7","1843.13"
"Pedra Lavrada (PB)","2021","63","62","770","706","687.24","19839","2.0","2220.62"
"Pedras de Fogo (PB)","2021","306","304","4391","4093","3943.07","95927","1.7","1871.39"
"Piancó (PB)","2021","244","241","1603","1403","1359.28","35765","1.8","2023.97"
"Picuí (PB)","2021","277","271","1773","1510","1409.67","42342","2.1","2310.50"
"Pilar (PB)","2021","79","79","1358","1283","1207.26","23182","1.3","1477.06"
"Pilões (PB)","2021","89","89","532","448","443.15","10599","1.7","1839.82"
"Pilõezinhos (PB)","2021","23","23","330","318","297.93","7594","1.8","1960.68"
"Pirpirituba (PB)","2021","76","76","665","587","573.79","15365","1.9","2059.81"
"Pitimbu (PB)","2021","136","131","2488","2315","2064.25","60707","2.1","2262.21"
"Pocinhos (PB)","2021","185","183","1441","1257","1238.45","33154","1.9","2059.30"
"Poço Dantas (PB)","2021","27","26","409","382","365.28","9464","1.8","1993.03"
"Poço de José de Moura (PB)","2021","61","61","533","496","463.43","11466","1.7","1903.23"
"Pombal (PB)","2021","670","653","3379","2686","2656.07","74019","1.9","2143.67"
"Prata (PB)","2021","55","54","402","353","456.56","10054","1.5","1693.93"
"Princesa Isabel (PB)","2021","336","322","2064","1710","1619.82","36447","1.6","1730.82"
"Puxinanã (PB)","2021","126","123","1116","990","877.79","24382","1.9","2136.62"
"Queimadas (PB)","2021","573","567","4406","3794","3745.47","95101","1.8","1953.14"
"Quixaba (PB)","2021","20","20","275","260","281.02","7212","1.8","1974.05"
"Remígio (PB)","2021","161","158","1446","1280","1227.01","32967","1.9","2066.77"
"Pedro Régis (PB)","2021","32","32","415","389","396.66","9802","1.7","1900.91"
"Riachão (PB)","2021","24","23","441","424","425.41","9613","1.6","1738.28"
"Riachão do Bacamarte (PB)","2021","35","34","483","456","424.93","10203","1.7","1847.02"
"Riachão do Poço (PB)","2021","22","22","406","376","367.28","9854","1.9","2063.73"
"Riacho de Santo Antônio (PB)","2021","17","17","162","148","276.25","7164","1.8","1994.96"
"Riacho dos Cavalos (PB)","2021","122","120","874","698","663.55","15788","1.7","1830.26"
"Rio Tinto (PB)","2021","311","309","4486","4151","3371.43","77948","1.6","1778.46"
"Salgadinho (PB)","2021","27","27","306","282","276.60","7611","1.9","2116.55"
"Salgado de São Félix (PB)","2021","75","73","1303","1243","1178.09","29423","1.7","1921.14"
"Santa Cecília (PB)","2021","46","46","416","387","384.14","9109","1.7","1824.11"
"Santa Cruz (PB)","2021","88","86","476","402","388.73","9846","1.8","1948.42"
"Santa Helena (PB)","2021","73","73","486","430","429.41","10287","1.7","1842.79"
"Santa Inês (PB)","2021","41","41","376","340","344.65","7739","1.6","1727.34"
"Santa Luzia (PB)","2021","310","306","2388","2113","1910.47","46318","1.7","1864.95"
"Santana de Mangueira (PB)","2021","50","50","460","428","413.68","10919","1.8","2030.38"
"Santana dos Garrotes (PB)","2021","58","58","502","445","434.09","10286","1.7","1822.68"
"Joca Claudino (PB)","2021","17","17","324","311","292.49","8133","1.9","2138.81"
"Santa Rita (PB)","2021","1347","1304","20210","18811","18474.34","447158","1.7","1861.87"
"Santa Teresinha (PB)","2021","42","42","607","575","551.98","11793","1.5","1643.46"
"Santo André (PB)","2021","23","23","303","280","272.34","5936","1.5","1676.76"
"São Bento (PB)","2021","654","627","4190","3470","3205.36","75450","1.6","1810.66"
"São Bentinho (PB)","2021","44","44","386","347","351.66","8536","1.7","1867.10"
"São Domingos do Cariri (PB)","2021","25","25","228","215","212.85","5930","1.9","2143.13"
"São Domingos (PB)","2021","34","33","411","376","353.09","8025","1.6","1748.37"
"São Francisco (PB)","2021","35","35","322","300","281.75","7243","1.8","1977.34"
"São João do Cariri (PB)","2021","49","49","801","748","817.72","15483","1.3","1456.51"
"São João do Tigre (PB)","2021","19","19","314","301","292.65","7538","1.8","1981.23"
"São José da Lagoa Tapada (PB)","2021","78","77","536","455","445.53","10758","1.7","1857.50"
"São José de Caiana (PB)","2021","43","43","326","296","311.53","9250","2.1","2284.06"
"São José de Espinharas (PB)","2021","22","22","335","318","320.05","8786","1.9","2111.68"
"São José dos Ramos (PB)","2021","25","25","1003","978","667.66","18171","1.9","2093.58"
"São José de Piranhas (PB)","2021","221","216","1588","1342","1455.81","37445","1.8","1978.54"
"São José de Princesa (PB)","2021","21","21","222","179","188.61","4678","1.7","1907.87"
"São José do Bonfim (PB)","2021","23","23","175","156","158.03","4799","2.1","2335.77"
"São José do Brejo do Cruz (PB)","2021","20","20","277","267","268.50","6970","1.8","1996.83"
"São José do Sabugi (PB)","2021","79","76","448","378","368.52","9087","1.7","1896.85"
"São José dos Cordeiros (PB)","2021","27","27","305","284","258.79","5549","1.5","1649.28"
"São Mamede (PB)","2021","45","42","496","456","432.21","11316","1.8","2014.05"
"São Miguel de Taipu (PB)","2021","46","45","582","540","491.91","10925","1.6","1708.34"
"São Sebastião de Lagoa de Roça (PB)","2021","82","80","775","710","681.17","17464","1.8","1972.12"
"São Sebastião do Umbuzeiro (PB)","2021","34","34","285","256","268.36","6613","1.7","1895.68"
"Sapé (PB)","2021","476","460","4848","4358","4105.87","102448","1.7","1919.35"
"São Vicente do Seridó (PB)","2021","73","71","692","625","577.81","15340","1.9","2042.16"
"Serra Branca (PB)","2021","160","158","1151","987","962.85","21710","1.6","1734.42"
"Serra da Raiz (PB)","2021","33","33","407","380","377.38","8634","1.6","1759.86"
"Serra Grande (PB)","2021","31","31","276","251","252.56","6471","1.8","1970.84"
"Serra Redonda (PB)","2021","39","39","458","418","443.05","9956","1.6","1728.50"
"Serraria (PB)","2021","43","43","407","380","384.50","9582","1.7","1916.99"
"Sertãozinho (PB)","2021","30","28","379","359","424.85","9177","1.5","1661.54"
"Sobrado (PB)","2021","58","58","583","526","532.02","13014","1.7","1881.72"
"Solânea (PB)","2021","525","513","2686","2141","2195.89","54372","1.7","1904.68"
"Soledade (PB)","2021","213","210","1447","1219","1255.97","33046","1.8","2023.96"
"Sossêgo (PB)","2021","30","30","390","361","349.48","8809","1.8","1939.03"
"Sousa (PB)","2021","1839","1774","12016","9789","9947.98","239108","1.7","1848.91"
"Sumé (PB)","2021","337","330","1717","1421","1388.48","34934","1.8","1935.39"
"Tacima (PB)","2021","47","42","666","621","582.74","13831","1.7","1825.74"
"Taperoá (PB)","2021","141","138","980","857","907.14","21545","1.7","1826.99"
"Tavares (PB)","2021","142","139","981","828","825.55","21216","1.8","1976.83"
"Teixeira (PB)","2021","184","184","1057","905","989.43","27662","2.0","2150.59"
"Tenório (PB)","2021","30","30","329","295","296.29","7280","1.7","1889.96"
"Triunfo (PB)","2021","84","83","514","440","524.74","11694","1.6","1714.32"
"Uiraúna (PB)","2021","245","242","1834","1578","1370.55","30647","1.6","1720.11"
"Umbuzeiro (PB)","2021","60","60","688","656","628.93","16905","1.9","2067.58"
